n,D16,D50,D84,el_FN,el_TN,la_prise0,Trib,aggregate,reach_ID,FromN,ToN,Wac,Length
0.030000000000000,0.040495000000000,0.064850000000000,0.096675000000000,184.400000000000006,183.000000000000000,,Ain,31,31,31,32,130.56,6435.08
0.030000000000000,0.033490000000000,0.051702000000000,0.077464000000000,183.000000000000000,176.952771297991006,Jons,,32,32,32,33,130.56,2364.62
0.030000000000000,0.032320000000000,0.051444000000000,0.080448000000000,176.952771297991006,174.883767991416988,,,33,33,33,34,130.76,2629.38
0.030000000000000,0.031150000000000,0.051186000000000,0.083432000000000,174.883767991416988,171.050000000000011,,,34,34,34,35,130.76,6842.98
0.030000000000000,0.021410000000000,0.036915000000000,0.063990000000000,171.050000000000011,167.590000000000003,,,35,35,35,36,131.08,5290.90
0.030000000000000,0.018917500000000,0.036840000000000,0.058052500000000,167.590000000000003,164.759999999999991,,,36,36,36,37,131.08,4166.37
0.030000000000000,0.023825000000000,0.050520000000000,0.077525000000000,164.759999999999991,162.439999999999998,,,37,37,37,38,131.17,1134.87
0.030000000000000,0.035880000000000,0.052830000000000,0.082800000000000,162.439999999999998,153.000000000000000,Pierre Bénite,Saône,38,38,38,39,131.18,15000.70
0.020000000000000,0.014523333333333,0.021836666666667,0.029996666666667,196.000000000000000,194.059997600000003,,,23,23,23,24,117.51,2072.11
0.030000000000000,0.021760000000000,0.032730000000000,0.044970000000000,194.059997600000003,193.520000000000010,,,24,24,24,25,117.55,5027.85
0.020000000000000,0.013840000000000,0.024450000000000,0.035030000000000,193.520000000000010,191.590000000000003,,,25,25,25,26,117.68,5102.92
0.020000000000000,0.023290000000000,0.036760000000000,0.056770000000000,191.590000000000003,191.379999999999995,,,26,26,26,27,117.72,891.47
0.020000000000000,0.026130000000000,0.049020000000000,0.080710000000000,191.379999999999995,189.900000000000006,,,27,27,27,28,117.72,6039.78
0.020000000000000,0.019470000000000,0.029830000000000,0.042680000000000,189.900000000000006,187.139999999999986,,,28,28,28,29,117.86,6754.56
0.030000000000000,0.026185000000000,0.041807500000000,0.061727500000000,187.139999999999986,185.919999999999987,,,29,29,29,30,118.51,2279.79
0.030000000000000,0.039615000000000,0.065762500000000,0.099822500000000,185.919999999999987,184.400000000000006,,Bourbre,30,30,30,31,119.03,2849.53
